Date,Account,Details,Type,Level,Amount
8/5/2021,Income,Menqlog,Active,Stable,13951
8/6/2021,Expense,Content couching tuition,Learning,Nice to have,1611
8/7/2021,Expense,Dilys birthday,Hangouts/Party,Nice to have,58
8/10/2021,Saving,Invest,ETF,Nice to have,1418
8/10/2021,Saving,Invest,Stock,Nice to have,1418
8/10/2021,Saving,Saving Funds,Sinking,Nice to have,1500
8/10/2021,Saving,Saving Funds,Emergency,Nice to have,1500
8/12/2021,Expense,Dinner with Customers,Relationship,Nice to have,110
8/13/2021,Expense,tempered glass,Neccessary,Must have,50
8/14/2021,Expense,"Px mart, Hotpot at home",Go market,Waste,934
8/19/2021,Expense,Netflix,Learning,Nice to have,155
8/25/2021,Expense,MRT,Transportation,Must have,950
8/26/2021,Expense,Milk tea,Dinning out,Waste,150
9/4/2021,Expense,jiufen,Travel,Nice to have,480
9/4/2021,Expense,Party with Miko,Relationship,Nice to have,375
9/5/2021,Expense,Banh xeo Andy,Relationship,Nice to have,72
9/5/2021,Income,A Yul Class,Active,Money,1085
9/5/2021,Income,Menqlog,Active,Stable,14367
9/6/2021,Expense,Milk,Go market,Nice to have,129
9/9/2021,Expense,House fees,Accomodation,Must have,3150
9/9/2021,Expense,restaurant,Dinning out,Waste,157
9/10/2021,Saving,Invest,Stock,Nice to have,1415
9/10/2021,Saving,Saving Funds,Emergency,Nice to have,1500
9/12/2021,Expense,wardrobe,Neccessary,Nice to have,185
9/12/2021,Expense,market,Go market,Waste,66
9/12/2021,Expense,Netfix,Learning,Nice to have,316
9/12/2021,Expense,House funds,Accomodation,Must have,1000
9/14/2021,Expense,having lunch,Go market,Must have,23
9/14/2021,Expense,ARC,Card/Docs,Must have,1000
9/16/2021,Expense,MRT,Transportation,Must have,200
9/19/2021,Expense,study,Learning,Nice to have,61
9/19/2021,Expense,"Andy, Mia",Relationship,Nice to have,278
9/21/2021,Income,A Yul Class,Active,Money,1250
9/22/2021,Expense,Exchange fees,Card/Docs,Must have,25
9/22/2021,Saving,Invest,ETF,Nice to have,1415
9/22/2021,Saving,Saving Funds,Sinking,Nice to have,1500
9/24/2021,Expense,MRT,Transportation,Must have,147
9/30/2021,Expense,Work permit,Card/Docs,Must have,100
10/1/2021,Expense,Milk tea monica,Dinning out,Waste,80
10/5/2021,Saving,Saving Funds,Emergency,Nice to have,1500
10/5/2021,Saving,Saving Funds,Sinking,Nice to have,1500
10/5/2021,Income,Menqlog,Active,Stable,14807
10/5/2021,Income,Content Marketing,Active,Learning,397
10/8/2021,Expense,House fees,Accomodation,Must have,3150
10/8/2021,Expense,withCandace,Dinning out,Waste,380
10/8/2021,Expense,MRT,Transportation,Must have,500
10/8/2021,Expense,lunch Candace,Dinning out,Waste,100
10/9/2021,Expense,Dinner with Konan,Dinning out,Waste,80
10/17/2021,Income,A Yul Class,Active,Money,1125
10/18/2021,Expense,lunch Canteen,Dinning out,Must have,65
10/23/2021,Expense,house price,Accomodation,Must have,1000
10/23/2021,Expense,Birthday party,Hangouts/Party,Nice to have,1140
10/23/2021,Expense,Brushteeth,Neccessary,Must have,121
10/24/2021,Income,Sale Export,Active,Money,3935
10/25/2021,Expense,toothpaste,Neccessary,Must have,31
